state,year,week,cases_accum
Quintana Roo,2013,7,0.0
San Luis Potosí,2013,7,0.0
Sinaloa,2013,7,4.0
Sonora,2013,7,2.0
Tabasco,2013,7,0.0
Tamaulipas,2013,7,0.0
Tlaxcala,2013,7,0.0
Veracruz,2013,7,0.0
Yucatán,2013,7,0.0
Zacatecas,2013,7,1.0
Aguascalientes,2013,8,0.0
Baja California,2013,8,69.0
Baja California Sur,2013,8,10.0
Campeche,2013,8,0.0
Coahuila,2013,8,14.0
Colima,2013,8,0.0
Chiapas,2013,8,0.0
Chihuahua,2013,8,2.0
Distrito Federal,2013,8,0.0
Durango,2013,8,0.0
Guanajuato,2013,8,2.0
Guerrero,2013,8,0.0
Hidalgo,2013,8,0.0
Jalisco,2013,8,0.0
México,2013,8,1.0
Michoacán,2013,8,11.0
Morelos,2013,8,0.0
Nayarit,2013,8,0.0
Nuevo León,2013,8,4.0
Oaxaca,2013,8,0.0
Puebla,2013,8,0.0
Querétaro,2013,8,0.0
Quintana Roo,2013,8,0.0
San Luis Potosí,2013,8,0.0
Sinaloa,2013,8,6.0
Sonora,2013,8,2.0
Tabasco,2013,8,0.0
Tamaulipas,2013,8,0.0
Tlaxcala,2013,8,0.0
Veracruz,2013,8,0.0
Yucatán,2013,8,0.0
Zacatecas,2013,8,1.0
Aguascalientes,2013,9,0.0
Baja California,2013,9,93.0
Baja California Sur,2013,9,15.0
Campeche,2013,9,0.0
Coahuila,2013,9,18.0
Colima,2013,9,0.0
Chiapas,2013,9,0.0
Chihuahua,2013,9,2.0
Distrito Federal,2013,9,0.0
Durango,2013,9,0.0
Guanajuato,2013,9,2.0
Guerrero,2013,9,0.0
Hidalgo,2013,9,0.0
Jalisco,2013,9,0.0
México,2013,9,1.0
Michoacán,2013,9,11.0
Morelos,2013,9,0.0
Nayarit,2013,9,0.0
Nuevo León,2013,9,6.0
Oaxaca,2013,9,0.0
Puebla,2013,9,0.0
Querétaro,2013,9,0.0
Quintana Roo,2013,9,0.0
San Luis Potosí,2013,9,0.0
Sinaloa,2013,9,7.0
Sonora,2013,9,3.0
Tabasco,2013,9,0.0
Tamaulipas,2013,9,0.0
Tlaxcala,2013,9,0.0
Veracruz,2013,9,0.0
Yucatán,2013,9,0.0
Zacatecas,2013,9,1.0
Aguascalientes,2013,10,0.0
Baja California,2013,10,120.0
Baja California Sur,2013,10,15.0
Campeche,2013,10,0.0
Coahuila,2013,10,26.0
Colima,2013,10,0.0
Chiapas,2013,10,0.0
Chihuahua,2013,10,2.0
Distrito Federal,2013,10,0.0
Durango,2013,10,0.0
Guanajuato,2013,10,2.0
Guerrero,2013,10,0.0
Hidalgo,2013,10,0.0
Jalisco,2013,10,0.0
México,2013,10,1.0
Michoacán,2013,10,12.0
Morelos,2013,10,0.0
Nayarit,2013,10,0.0
Nuevo León,2013,10,7.0
Oaxaca,2013,10,0.0
Puebla,2013,10,0.0
Querétaro,2013,10,0.0
Quintana Roo,2013,10,0.0
San Luis Potosí,2013,10,0.0
Sinaloa,2013,10,7.0
Sonora,2013,10,4.0
Tabasco,2013,10,0.0
