estado,1,2,3,sem,m_acum,f_acum,acum,semana,year,8,9
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Veracruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2015,0.0,
Yucatán,2.0,2.0,1.0,1.0,0.0,0.0,0.0,04,2015,0.0,
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2015,0.0,
TOTAL,33.0,22.0,53.0,10.0,0.0,2.0,4.0,04,2015,10.0,
Aguascalientes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Baja California,1.0,4.0,1.0,1.0,0.0,0.0,1.0,05,2015,6.0,
Baja California Sur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05,2015,2.0,
Campeche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Coahuila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05,2015,1.0,
Colima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Chiapas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Guerrero,0.0,1.0,1.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Jalisco,0.0,1.0,1.0,0.0,0.0,0.0,0.0,05,2015,0.0,
México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Michoacán,1.0,0.0,4.0,1.0,0.0,0.0,0.0,05,2015,0.0,
Morelos,0.0,2.0,3.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Nayarit,0.0,0.0,1.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Nuevo León,1.0,1.0,1.0,0.0,0.0,0.0,0.0,05,2015,4.0,
Oaxaca,0.0,1.0,1.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Puebla,0.0,0.0,0.0,5.0,0.0,0.0,0.0,05,2015,0.0,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Sinaloa,23.0,18.0,56.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Sonora,0.0,0.0,1.0,3.0,2.0,4.0,3.0,05,2015,0.0,
Tabasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Tamaulipas,0.0,0.0,0.0,2.0,0.0,0.0,0.0,05,2015,0.0,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Veracruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05,2015,0.0,
Yucatán,1.0,2.0,2.0,1.0,0.0,0.0,0.0,05,2015,0.0,
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05,2015,0.0,
TOTAL,27.0,31.0,73.0,13.0,2.0,4.0,4.0,05,2015,13.0,
Aguascalientes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Baja California,1.0,4.0,2.0,1.0,0.0,0.0,0.0,06,2015,9.0,
Baja California Sur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,2015,2.0,
Campeche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Coahuila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,2015,1.0,
Colima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Chiapas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Guerrero,1.0,1.0,2.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Jalisco,0.0,1.0,1.0,0.0,0.0,0.0,0.0,06,2015,0.0,
México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Michoacán,0.0,0.0,2.0,1.0,0.0,0.0,0.0,06,2015,0.0,
Morelos,0.0,2.0,3.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Nayarit,1.0,0.0,2.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Nuevo León,0.0,1.0,1.0,0.0,1.0,0.0,1.0,06,2015,4.0,
Oaxaca,0.0,1.0,1.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Puebla,0.0,0.0,0.0,5.0,0.0,0.0,0.0,06,2015,0.0,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Sinaloa,26.0,25.0,78.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Sonora,1.0,0.0,2.0,5.0,0.0,4.0,3.0,06,2015,0.0,
Tabasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Tamaulipas,0.0,0.0,0.0,3.0,0.0,0.0,0.0,06,2015,0.0,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Veracruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,2015,0.0,
Yucatán,1.0,2.0,3.0,1.0,0.0,0.0,0.0,06,2015,0.0,
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,2015,0.0,
TOTAL,31.0,38.0,98.0,16.0,1.0,4.0,4.0,06,2015,16.0,
Aguascalientes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Baja California,4.0,4.0,6.0,1.0,0.0,0.0,0.0,07,2015,10.0,
Baja California Sur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2015,2.0,
Campeche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Coahuila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2015,2.0,
Colima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Chiapas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Guerrero,0.0,1.0,2.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Jalisco,0.0,1.0,1.0,0.0,0.0,0.0,0.0,07,2015,0.0,
México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Michoacán,4.0,2.0,4.0,1.0,0.0,0.0,0.0,07,2015,0.0,
Morelos,0.0,2.0,3.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Nayarit,0.0,0.0,2.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Nuevo León,0.0,1.0,1.0,0.0,0.0,0.0,1.0,07,2015,4.0,
Oaxaca,0.0,1.0,1.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Puebla,0.0,0.0,0.0,5.0,0.0,0.0,0.0,07,2015,0.0,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Sinaloa,24.0,30.0,101.0,2.0,0.0,0.0,0.0,07,2015,1.0,
Sonora,0.0,0.0,2.0,5.0,1.0,4.0,4.0,07,2015,0.0,
Tabasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Tamaulipas,1.0,0.0,1.0,3.0,0.0,0.0,0.0,07,2015,0.0,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Veracruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2015,0.0,
Yucatán,1.0,3.0,3.0,1.0,0.0,0.0,0.0,07,2015,0.0,
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2015,0.0,
TOTAL,34.0,46.0,128.0,18.0,1.0,4.0,5.0,07,2015,19.0,
Aguascalientes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Baja California,0.0,4.0,6.0,1.0,0.0,0.0,0.0,08,2015,12.0,
Baja California Sur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2015,2.0,
Campeche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Coahuila,0.0,0.0,0.0,0.0,1.0,1.0,0.0,08,2015,2.0,
Colima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Chiapas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,1.0,0.0,1.0,08,2015,0.0,
Guerrero,0.0,1.0,2.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Jalisco,0.0,1.0,1.0,0.0,0.0,0.0,0.0,08,2015,0.0,
México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Michoacán,0.0,2.0,4.0,1.0,0.0,0.0,0.0,08,2015,0.0,
Morelos,1.0,3.0,3.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Nayarit,1.0,1.0,2.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Nuevo León,0.0,1.0,1.0,0.0,0.0,0.0,1.0,08,2015,6.0,
Oaxaca,0.0,1.0,1.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Puebla,0.0,0.0,0.0,5.0,0.0,0.0,0.0,08,2015,0.0,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Sinaloa,20.0,36.0,118.0,4.0,0.0,0.0,0.0,08,2015,1.0,
Sonora,0.0,0.0,2.0,5.0,2.0,5.0,5.0,08,2015,0.0,
Tabasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Tamaulipas,0.0,0.0,1.0,3.0,0.0,0.0,0.0,08,2015,0.0,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Veracruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2015,0.0,
Yucatán,1.0,4.0,3.0,1.0,0.0,0.0,0.0,08,2015,0.0,
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2015,0.0,
TOTAL,23.0,55.0,145.0,20.0,4.0,6.0,7.0,08,2015,23.0,
Aguascalientes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,09,2015,0.0,
Baja California,3.0,5.0,8.0,1.0,0.0,0.0,0.0,09,2015,12.0,
Baja California Sur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2015,2.0,
Campeche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,09,2015,0.0,
Coahuila,1.0,1.0,0.0,0.0,0.0,1.0,0.0,09,2015,3.0,
Colima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2015,0.0,
Chiapas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2015,0.0,
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2015,0.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,0.0,0.0,1.0,09,2015,0.0,
Guerrero,0.0,1.0,2.0,0.0,0.0,0.0,0.0,09,2015,0.0,
Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2015,0.0,
Jalisco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2015,0.0,
México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2015,0.0,
Michoacán,1.0,3.0,4.0,1.0,0.0,0.0,0.0,09,2015,0.0,
Morelos,2.0,4.0,4.0,0.0,0.0,0.0,0.0,09,2015,0.0,
Nayarit,0.0,1.0,2.0,1.0,0.0,0.0,0.0,09,2015,0.0,
Nuevo León,1.0,2.0,1.0,0.0,0.0,0.0,1.0,09,2015,6.0,
Oaxaca,1.0,1.0,0.0,1.0,0.0,0.0,0.0,09,2015,0.0,
Puebla,0.0,0.0,0.0,6.0,0.0,0.0,0.0,09,2015,0.0,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2015,0.0,
Sinaloa,27.0,41.0,140.0,4.0,1.0,0.0,1.0,09,2015,1.0,
Sonora,0.0,0.0,2.0,5.0,1.0,6.0,5.0,09,2015,1.0,
Tabasco,1.0,0.0,1.0,0.0,0.0,0.0,0.0,09,2015,0.0,
Tamaulipas,0.0,0.0,1.0,3.0,0.0,0.0,0.0,09,2015,0.0,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2015,0.0,
Veracruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2015,0.0,
Yucatán,1.0,5.0,3.0,1.0,0.0,0.0,0.0,09,2015,0.0,
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2015,0.0,
TOTAL,38.0,65.0,169.0,23.0,2.0,7.0,8.0,09,2015,25.0,
Aguascalientes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10,2015,0.0,
Baja California,9.0,9.0,13.0,1.0,3.0,0.0,3.0,10,2015,12.0,
Baja California Sur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2015,2.0,
Campeche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10,2015,0.0,
Coahuila,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10,2015,7.0,
Colima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2015,0.0,
Chiapas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2015,0.0,
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2015,0.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10,2015,0.0,
Guerrero,0.0,1.0,2.0,0.0,0.0,0.0,0.0,10,2015,0.0,
Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2015,0.0,
Jalisco,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10,2015,0.0,
México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2015,0.0,
Michoacán,0.0,3.0,4.0,1.0,0.0,0.0,0.0,10,2015,0.0,
Morelos,3.0,5.0,6.0,0.0,0.0,0.0,0.0,10,2015,0.0,
